model,dataset,mae,mape,rmse,split,inLen,outLen,tags,horizon,source
DCRNN,PEMS07,21.28,9.08,34.32,6:2:2,12,12,BasicTS,,
DCRNN,PEMS08,15.30,10.02,24.25,6:2:2,12,12,BasicTS,,
GWNet,PEMS03,14.40,15.05,25.35,6:2:2,12,12,BasicTS,,
GWNet,PEMS04,18.66,12.91,30.11,6:2:2,12,12,BasicTS,,
GWNet,PEMS07,20.31,8.64,33.22,6:2:2,12,12,BasicTS,,
GWNet,PEMS08,14.65,9.45,23.56,6:2:2,12,12,BasicTS,,
STGCN,PEMS03,15.91,15.42,26.92,6:2:2,12,12,BasicTS,,
STGCN,PEMS04,20.25,13.62,31.96,6:2:2,12,12,BasicTS,,
STGCN,PEMS07,22.28,9.67,35.57,6:2:2,12,12,BasicTS,,
STGCN,PEMS08,17.52,12.15,26.92,6:2:2,12,12,BasicTS,,
HA,PEMS03,26.10,26.87,47.47,6:2:2,12,12,self,,
HA,PEMS04,26.42,16.78,43.42,6:2:2,12,12,self,,
HA,PEMS07,30.36,12.78,56.75,6:2:2,12,12,self,,
HA,PEMS08,23.25,14.50,40.59,6:2:2,12,12,self,,
iTransformer,PEMS03,15.88,15.89,25.15,6:2:2,96,12,BasicTS,,
iTransformer,PEMS04,21.24,15.15,34.26,6:2:2,96,12,BasicTS,,
iTransformer,PEMS07,22.69,9.75,37.29,6:2:2,96,12,BasicTS,,
iTransformer,PEMS08,15.75,10.81,25.85,6:2:2,96,12,BasicTS,,
GWNet,PEMS03,19.85,19.31,32.94,6:2:2,12,12,survey,,
GWNet,PEMS04,25.45,17.29,39.70,6:2:2,12,12,survey,,
GWNet,PEMS07,26.85,12.12,42.78,6:2:2,12,12,survey,,
GWNet,PEMS08,19.13,12.68,31.05,6:2:2,12,12,survey,,
DCRNN,PEMS03,18.18,18.91,30.31,6:2:2,12,12,survey,,
DCRNN,PEMS04,24.70,17.12,38.12,6:2:2,12,12,survey,,
DCRNN,PEMS07,25.30,11.66,38.58,6:2:2,12,12,survey,,
DCRNN,PEMS08,17.86,11.45,27.83,6:2:2,12,12,survey,,
ASTGCN,PEMS03,17.69,19.40,29.66,6:2:2,12,12,survey,,
ASTGCN,PEMS04,22.93,16.56,35.22,6:2:2,12,12,survey,,
ASTGCN,PEMS07,28.05,13.92,42.57,6:2:2,12,12,survey,,
ASTGCN,PEMS08,18.61,13.08,28.16,6:2:2,12,12,survey,,
STGCN,PEMS03,17.49,17.15,30.12,6:2:2,12,12,survey,,
STGCN,PEMS04,22.70,14.59,33.55,6:2:2,12,12,survey,,
STGCN,PEMS07,25.38,11.08,38.78,6:2:2,12,12,survey,,
STGCN,PEMS08,18.02,11.40,27.83,6:2:2,12,12,survey,,
AGCRN,PEMS03,15.48,15.16,27.43,6:2:2,12,12,BasicTS,,
AGCRN,PEMS04,19.42,12.84,31.25,6:2:2,12,12,BasicTS,,
AGCRN,PEMS07,20.48,8.79,33.94,6:2:2,12,12,BasicTS,,
AGCRN,PEMS08,15.91,11.34,25.16,6:2:2,12,12,BasicTS,,
STDN,PEMS03,15.43,17.96,26.62,6:2:2,12,12,BasicTS,,
STDN,PEMS04,18.84,18.40,33.07,6:2:2,12,12,BasicTS,,
STPGNN,PEMS03,14.37,14.23,24.62,6:2:2,12,12,survey,,
STPGNN,PEMS04,18.34,12.49,29.64,6:2:2,12,12,survey,,
STPGNN,PEMS07,20.52,8.75,33.38,6:2:2,12,12,survey,,
STPGNN,PEMS08,13.90,9.01,23.05,6:2:2,12,12,survey,,
HimNet,PEMS03,15.11,15.49,26.56,6:2:2,12,12,survey,,
HimNet,PEMS04,18.14,12.00,29.88,6:2:2,12,12,survey,,
HimNet,PEMS07,19.21,8.03,32.75,6:2:2,12,12,survey,,
HimNet,PEMS08,13.57,8.98,23.32,6:2:2,12,12,survey,,
STWave,PEMS03,14.92,15.46,26.28,6:2:2,12,12,BasicTS,,
STWave,PEMS04,18.29,12.21,30.04,6:2:2,12,12,BasicTS,,
STWave,PEMS07,19.73,8.14,33.80,6:2:2,12,12,BasicTS,,
STWave,PEMS08,13.73,8.97,23.44,6:2:2,12,12,BasicTS,,
STID,PEMS03,15.38,16.69,28.15,6:2:2,12,12,BasicTS,,
STID,PEMS04,18.47,12.55,30.00,6:2:2,12,12,BasicTS,,
STID,PEMS07,19.63,8.31,32.74,6:2:2,12,12,BasicTS,,
STID,PEMS08,14.25,9.38,23.39,6:2:2,12,12,BasicTS,,
STAEformer,PEMS03,15.13,15.21,27.33,6:2:2,12,12,BasicTS,,
STAEformer,PEMS04,18.19,12.16,30.44,6:2:2,12,12,BasicTS,,
STAEformer,PEMS07,19.21,8.04,33.25,6:2:2,12,12,BasicTS,,
STAEformer,PEMS08,13.52,8.84,23.37,6:2:2,12,12,BasicTS,,
DGCRN,PEMS04,18.77,13.05,30.32,6:2:2,12,12,BasicTS,,
DGCRN,PEMS08,14.99,9.77,23.9,6:2:2,12,12,BasicTS,,
GTS,PEMS03,15.77,15.92,26.26,6:2:2,12,12,BasicTS,,
GTS,PEMS04,23.17,17.25,30.81,6:2:2,12,12,BasicTS,,
GTS,PEMS08,17.87,11.97,28.07,6:2:2,12,12,BasicTS,,
StemGNN,PEMS03,15.55,14.7,26.59,6:2:2,12,12,BasicTS,,
StemGNN,PEMS04,21.07,14.68,33.05,6:2:2,12,12,BasicTS,,
StemGNN,PEMS07,20.44,8.68,34.30,6:2:2,12,12,BasicTS,,
StemGNN,PEMS08,16.09,10.45,25.45,6:2:2,12,12,BasicTS,,
DLinear,PEMS04,27.99,19.21,43.91,6:2:2,12,12,BasicTS,,
DLinear,PEMS04,22.67,15.30,36.12,6:2:2,336,12,BasicTS,,
DLinear,PEMS08,22.43,14.55,35.43,6:2:2,12,12,BasicTS,,
DLinear,PEMS08,18.06,11.94,28.85,6:2:2,336,12,BasicTS,,
NLinear,PEMS04,28.29,18.64,44.48,6:2:2,12,12,BasicTS,,
NLinear,PEMS04,22.65,15.28,36.11,6:2:2,336,12,BasicTS,,
NLinear,PEMS08,22.62,13.69,35.83,6:2:2,12,12,BasicTS,,
NLinear,PEMS08,18.04,11.60,28.84,6:2:2,336,12,BasicTS,,
DSFormer,PEMS04,19.57,14.06,31.10,6:2:2,336,12,BasicTS,,
DSFormer,PEMS08,14.83,9.80,23.83,6:2:2,336,12,BasicTS,,
FEDformer,PEMS04,23.62,20.10,36.67,6:2:2,720,12,BasicTS,,
FEDformer,PEMS08,21.51,16.14,34.59,6:2:2,720,12,BasicTS,,
PatchTST,PEMS04,20.21,13.67,32.35,6:2:2,336,12,BasicTS,,
Crossformer,PEMS04,19.18,13.65,30.58,6:2:2,12,12,BasicTS,,
Crossformer,PEMS04,18.33,12.98,29.82,6:2:2,192,12,BasicTS,,
Crossformer,PEMS08,16.27,10.95,25.55,6:2:2,12,12,BasicTS,,
Crossformer,PEMS08,14.16,9.61,22.97,6:2:2,336,12,BasicTS,,
Pyraformer,PEMS04,21.94,15.42,36.00,6:2:2,96,12,BasicTS,,
Pyraformer,PEMS08,19.94,12.60,32.27,6:2:2,96,12,BasicTS,,
RAFT,PEMS03,18.97,20.26,29.73,6:2:2,12,12,survey,,
RAFT,PEMS04,24.65,17.51,38.55,6:2:2,12,12,survey,,
RAFT,PEMS07,27.30,12.08,42.16,6:2:2,12,12,survey,,
RAFT,PEMS08,20.43,13.00,31.62,6:2:2,12,12,survey,,
ARIMA,PEMS03,35.31,33.78,47.59,6:2:2,12,12,survey,,
ARIMA,PEMS04,33.73,24.18,48.80,6:2:2,12,12,survey,,
ARIMA,PEMS07,38.17,19.46,59.27,6:2:2,12,12,survey,,
ARIMA,PEMS08,31.09,22.73,44.32,6:2:2,12,12,survey,,
VAR,PEMS03,23.65,24.51,38.26,6:2:2,12,12,survey,,
VAR,PEMS04,23.75,18.09,36.66,6:2:2,12,12,survey,,
VAR,PEMS07,75.63,32.22,115.24,6:2:2,12,12,survey,,
VAR,PEMS08,23.46,15.42,36.33,6:2:2,12,12,survey,,
SVR,PEMS03,21.79,21.51,35.29,6:2:2,12,12,survey,,
SVR,PEMS04,28.70,19.20,44.56,6:2:2,12,12,survey,,
SVR,PEMS07,32.49,14.26,50.22,6:2:2,12,12,survey,,
SVR,PEMS08,23.25,14.64,36.16,6:2:2,12,12,survey,,
HA,PEMS04,28.92,20.31,42.69,6:2:2,12,12,survey,3,
HA,PEMS04,33.73,24.01,49.37,6:2:2,12,12,survey,6,
HA,PEMS04,46.97,35.11,67.43,6:2:2,12,12,survey,12,
VAR,PEMS04,21.94,16.42,34.30,6:2:2,12,12,survey,3,
VAR,PEMS04,23.72,18.02,36.58,6:2:2,12,12,survey,6,
VAR,PEMS04,26.76,20.94,40.28,6:2:2,12,12,survey,12,
SVR,PEMS04,22.52,14.71,35.30,6:2:2,12,12,survey,3,
SVR,PEMS04,27.63,18.29,42.23,6:2:2,12,12,survey,6,
SVR,PEMS04,37.86,26.72,56.01,6:2:2,12,12,survey,12,
FC-LSTM,PEMS04,21.42,15.32,33.37,6:2:2,12,12,survey,3,
FC-LSTM,PEMS04,25.83,20.35,39.10,6:2:2,12,12,survey,6,
FC-LSTM,PEMS04,36.41,29.92,50.73,6:2:2,12,12,survey,12,
DCRNN,PEMS04,20.34,13.65,31.94,6:2:2,12,12,survey,3,
DCRNN,PEMS04,23.21,15.70,36.15,6:2:2,12,12,survey,6,
DCRNN,PEMS04,29.24,20.09,44.81,6:2:2,12,12,survey,12,
STGCN,PEMS04,19.35,12.81,30.76,6:2:2,12,12,survey,3,
STGCN,PEMS04,21.85,14.13,34.43,6:2:2,12,12,survey,6,
STGCN,PEMS04,26.97,16.84,41.11,6:2:2,12,12,survey,12,
GWNet,PEMS04,18.15,12.27,29.24,6:2:2,12,12,survey,3,
GWNet,PEMS04,19.12,13.28,30.62,6:2:2,12,12,survey,6,
GWNet,PEMS04,20.69,14.11,33.02,6:2:2,12,12,survey,12,
ASTGCN,PEMS04,20.15,14.03,31.43,6:2:2,12,12,survey,3,
ASTGCN,PEMS04,22.09,15.47,34.34,6:2:2,12,12,survey,6,
ASTGCN,PEMS04,26.03,19.17,40.02,6:2:2,12,12,survey,12,
STSGCN,PEMS04,19.41,12.82,30.69,6:2:2,12,12,survey,3,
STSGCN,PEMS04,21.83,14.54,34.33,6:2:2,12,12,survey,6,
STSGCN,PEMS04,26.27,14.71,40.11,6:2:2,12,12,survey,12,
MTGNN,PEMS04,18.22,12.47,30.13,6:2:2,12,12,survey,3,
MTGNN,PEMS04,19.27,13.09,32.21,6:2:2,12,12,survey,6,
MTGNN,PEMS04,20.93,14.02,34.49,6:2:2,12,12,survey,12,
GMAN,PEMS04,18.28,12.35,29.32,6:2:2,12,12,survey,3,
GMAN,PEMS04,18.75,12.96,30.77,6:2:2,12,12,survey,6,
GMAN,PEMS04,19.95,12.97,30.21,6:2:2,12,12,survey,12,
DGCRN,PEMS04,18.27,12.36,28.97,6:2:2,12,12,survey,3,
DGCRN,PEMS04,19.39,13.42,30.86,6:2:2,12,12,survey,6,
DGCRN,PEMS04,21.09,14.94,33.59,6:2:2,12,12,survey,12,
D2STGNN,PEMS04,17.44,11.64,28.64,6:2:2,12,12,survey,3,
D2STGNN,PEMS04,18.28,12.10,30.10,6:2:2,12,12,survey,6,
D2STGNN,PEMS04,19.55,12.82,31.99,6:2:2,12,12,survey,12,
HA,PEMS08,23.52,14.72,34.96,6:2:2,12,12,survey,3,
HA,PEMS08,27.67,17.37,40.89,6:2:2,12,12,survey,6,
HA,PEMS08,39.28,25.17,56.74,6:2:2,12,12,survey,12,
VAR,PEMS08,19.52,12.54,29.73,6:2:2,12,12,survey,3,
VAR,PEMS08,22.25,14.23,33.30,6:2:2,12,12,survey,6,
VAR,PEMS08,26.17,17.32,38.97,6:2:2,12,12,survey,12,
SVR,PEMS08,17.93,10.95,27.69,6:2:2,12,12,survey,3,
SVR,PEMS08,22.41,13.97,34.53,6:2:2,12,12,survey,6,
SVR,PEMS08,32.11,20.99,47.03,6:2:2,12,12,survey,12,
FC-LSTM,PEMS08,17.38,12.63,26.27,6:2:2,12,12,survey,3,
FC-LSTM,PEMS08,21.22,17.32,31.97,6:2:2,12,12,survey,6,
FC-LSTM,PEMS08,30.69,25.72,43.96,6:2:2,12,12,survey,12,
DCRNN,PEMS08,15.64,10.04,25.48,6:2:2,12,12,survey,3,
DCRNN,PEMS08,17.88,11.38,27.63,6:2:2,12,12,survey,6,
DCRNN,PEMS08,22.51,14.17,34.21,6:2:2,12,12,survey,12,
STGCN,PEMS08,15.30,9.88,25.03,6:2:2,12,12,survey,3,
STGCN,PEMS08,17.69,11.03,27.27,6:2:2,12,12,survey,6,
STGCN,PEMS08,25.46,13.34,33.71,6:2:2,12,12,survey,12,
GWNet,PEMS08,14.02,8.95,22.76,6:2:2,12,12,survey,3,
GWNet,PEMS08,15.24,9.57,24.22,6:2:2,12,12,survey,6,
GWNet,PEMS08,16.67,10.86,26.77,6:2:2,12,12,survey,12,
ASTGCN,PEMS08,16.48,11.03,25.09,6:2:2,12,12,survey,3,
ASTGCN,PEMS08,18.66,12.23,28.17,6:2:2,12,12,survey,6,
ASTGCN,PEMS08,22.83,15.24,33.68,6:2:2,12,12,survey,12,
MTGNN,PEMS08,14.24,9.02,22.43,6:2:2,12,12,survey,3,
MTGNN,PEMS08,15.30,9.58,24.32,6:2:2,12,12,survey,6,
MTGNN,PEMS08,16.85,10.57,26.93,6:2:2,12,12,survey,12,
GMAN,PEMS08,13.80,9.41,22.88,6:2:2,12,12,survey,3,
GMAN,PEMS08,14.62,9.57,24.02,6:2:2,12,12,survey,6,
GMAN,PEMS08,15.72,10.56,25.96,6:2:2,12,12,survey,12,
DGCRN,PEMS08,13.89,9.19,22.07,6:2:2,12,12,survey,3,
DGCRN,PEMS08,14.92,9.85,23.99,6:2:2,12,12,survey,6,
DGCRN,PEMS08,16.73,10.84,26.88,6:2:2,12,12,survey,12,
D2STGNN,PEMS08,13.14,8.55,21.42,6:2:2,12,12,survey,3,
D2STGNN,PEMS08,14.21,9.12,23.65,6:2:2,12,12,survey,6,
D2STGNN,PEMS08,15.69,10.17,26.41,6:2:2,12,12,survey,12,
HA,METR-LA,4.79,11.70,10.00,6:2:2,12,12,survey,3,
HA,METR-LA,5.47,13.50,11.45,6:2:2,12,12,survey,6,
HA,METR-LA,6.99,17.54,13.89,6:2:2,12,12,survey,12,
VAR,METR-LA,4.42,13.00,7.80,6:2:2,12,12,survey,3,
VAR,METR-LA,5.41,12.70,9.13,6:2:2,12,12,survey,6,
VAR,METR-LA,6.52,15.80,10.11,6:2:2,12,12,survey,12,
SVR,METR-LA,3.39,9.30,8.45,6:2:2,12,12,survey,3,
SVR,METR-LA,5.05,12.10,10.87,6:2:2,12,12,survey,6,
SVR,METR-LA,6.72,16.70,13.76,6:2:2,12,12,survey,12,
FC-LSTM,METR-LA,3.44,9.60,6.30,6:2:2,12,12,survey,3,
FC-LSTM,METR-LA,3.77,10.09,7.23,6:2:2,12,12,survey,6,
FC-LSTM,METR-LA,4.37,14.00,8.69,6:2:2,12,12,survey,12,
DCRNN,METR-LA,2.77,7.30,5.38,6:2:2,12,12,survey,3,
DCRNN,METR-LA,3.15,8.80,6.45,6:2:2,12,12,survey,6,
DCRNN,METR-LA,3.60,10.50,7.60,6:2:2,12,12,survey,12,
STGCN,METR-LA,2.88,7.62,5.74,6:2:2,12,12,survey,3,
STGCN,METR-LA,3.47,9.57,7.24,6:2:2,12,12,survey,6,
STGCN,METR-LA,4.59,12.70,9.40,6:2:2,12,12,survey,12,
GWNet,METR-LA,2.69,6.90,5.15,6:2:2,12,12,survey,3,
GWNet,METR-LA,3.07,8.37,6.22,6:2:2,12,12,survey,6,
GWNet,METR-LA,3.53,10.01,7.37,6:2:2,12,12,survey,12,
ASTGCN,METR-LA,4.86,9.21,9.27,6:2:2,12,12,survey,3,
ASTGCN,METR-LA,5.43,10.13,10.61,6:2:2,12,12,survey,6,
ASTGCN,METR-LA,6.51,11.64,12.52,6:2:2,12,12,survey,12,
STSGCN,METR-LA,3.31,8.06,7.62,6:2:2,12,12,survey,3,
STSGCN,METR-LA,4.13,10.29,9.77,6:2:2,12,12,survey,6,
STSGCN,METR-LA,5.06,12.91,11.66,6:2:2,12,12,survey,12,
MTGNN,METR-LA,2.69,6.88,5.18,6:2:2,12,12,survey,3,
MTGNN,METR-LA,3.05,8.19,6.17,6:2:2,12,12,survey,6,
MTGNN,METR-LA,3.49,9.87,7.23,6:2:2,12,12,survey,12,
GMAN,METR-LA,2.80,7.41,5.55,6:2:2,12,12,survey,3,
GMAN,METR-LA,3.12,8.73,6.49,6:2:2,12,12,survey,6,
GMAN,METR-LA,3.44,10.07,7.35,6:2:2,12,12,survey,12,
DGCRN,METR-LA,2.62,6.63,5.01,6:2:2,12,12,survey,3,
DGCRN,METR-LA,2.99,8.02,6.05,6:2:2,12,12,survey,6,
DGCRN,METR-LA,3.44,9.73,7.19,6:2:2,12,12,survey,12,
D2STGNN,METR-LA,2.56,6.48,4.88,6:2:2,12,12,survey,3,
D2STGNN,METR-LA,2.90,7.78,5.89,6:2:2,12,12,survey,6,
D2STGNN,METR-LA,3.35,9.40,7.03,6:2:2,12,12,survey,12,
HA,PEMS-BAY,1.89,4.16,4.30,6:2:2,12,12,survey,3,
HA,PEMS-BAY,2.50,5.62,5.82,6:2:2,12,12,survey,6,
HA,PEMS-BAY,3.31,7.65,7.54,6:2:2,12,12,survey,12,
VAR,PEMS-BAY,1.74,3.60,3.16,6:2:2,12,12,survey,3,
VAR,PEMS-BAY,2.32,5.00,4.25,6:2:2,12,12,survey,6,
VAR,PEMS-BAY,2.93,6.50,5.44,6:2:2,12,12,survey,12,
SVR,PEMS-BAY,1.85,3.80,3.59,6:2:2,12,12,survey,3,
SVR,PEMS-BAY,2.48,5.50,5.18,6:2:2,12,12,survey,6,
SVR,PEMS-BAY,3.28,8.00,7.08,6:2:2,12,12,survey,12,
FC-LSTM,PEMS-BAY,2.05,4.80,4.19,6:2:2,12,12,survey,3,
FC-LSTM,PEMS-BAY,2.20,5.20,4.55,6:2:2,12,12,survey,6,
FC-LSTM,PEMS-BAY,2.37,5.70,4.96,6:2:2,12,12,survey,12,
DCRNN,PEMS-BAY,1.38,2.90,2.95,6:2:2,12,12,survey,3,
DCRNN,PEMS-BAY,1.74,3.90,3.97,6:2:2,12,12,survey,6,
DCRNN,PEMS-BAY,2.07,4.90,4.74,6:2:2,12,12,survey,12,
STGCN,PEMS-BAY,1.36,2.90,2.96,6:2:2,12,12,survey,3,
STGCN,PEMS-BAY,1.81,4.17,4.27,6:2:2,12,12,survey,6,
STGCN,PEMS-BAY,2.49,5.79,5.69,6:2:2,12,12,survey,12,
GWNet,PEMS-BAY,1.30,2.73,2.74,6:2:2,12,12,survey,3,
GWNet,PEMS-BAY,1.63,3.67,3.70,6:2:2,12,12,survey,6,
GWNet,PEMS-BAY,1.95,4.63,4.52,6:2:2,12,12,survey,12,
ASTGCN,PEMS-BAY,1.52,3.22,3.13,6:2:2,12,12,survey,3,
ASTGCN,PEMS-BAY,2.01,4.48,4.27,6:2:2,12,12,survey,6,
ASTGCN,PEMS-BAY,2.61,6.00,5.42,6:2:2,12,12,survey,12,
STSGCN,PEMS-BAY,1.44,3.04,3.01,6:2:2,12,12,survey,3,
STSGCN,PEMS-BAY,1.83,4.17,4.18,6:2:2,12,12,survey,6,
STSGCN,PEMS-BAY,2.26,5.40,5.21,6:2:2,12,12,survey,12,
MTGNN,PEMS-BAY,1.32,2.77,2.79,6:2:2,12,12,survey,3,
MTGNN,PEMS-BAY,1.65,3.69,3.74,6:2:2,12,12,survey,6,
MTGNN,PEMS-BAY,1.94,4.53,4.49,6:2:2,12,12,survey,12,
GMAN,PEMS-BAY,1.34,2.86,2.91,6:2:2,12,12,survey,3,
GMAN,PEMS-BAY,1.63,3.68,3.76,6:2:2,12,12,survey,6,
GMAN,PEMS-BAY,1.86,4.37,4.32,6:2:2,12,12,survey,12,
DGCRN,PEMS-BAY,1.28,2.66,2.69,6:2:2,12,12,survey,3,
DGCRN,PEMS-BAY,1.59,3.55,3.63,6:2:2,12,12,survey,6,
DGCRN,PEMS-BAY,1.89,4.43,4.42,6:2:2,12,12,survey,12,
D2STGNN,PEMS-BAY,1.24,2.58,2.60,6:2:2,12,12,survey,3,
D2STGNN,PEMS-BAY,1.55,3.49,3.52,6:2:2,12,12,survey,6,
D2STGNN,PEMS-BAY,1.85,4.37,4.30,6:2:2,12,12,survey,12,
GTS,PEMS04,18.97,13.06,29.83,6:2:2,12,12,survey,3,
GTS,PEMS04,19.29,13.92,30.85,6:2:2,12,12,survey,6,
GTS,PEMS04,21.04,14.94,34.81,6:2:2,12,12,survey,12,
STEP,PEMS04,17.34,11.57,28.44,6:2:2,12,12,survey,3,
STEP,PEMS04,18.12,12.00,29.81,6:2:2,12,12,survey,6,
STEP,PEMS04,19.27,12.78,31.33,6:2:2,12,12,survey,12,
STD-MAE,PEMS03,13.02,13.75,22.58,6:2:2,12,12,survey,3,
STD-MAE,PEMS03,13.97,14.31,24.63,6:2:2,12,12,survey,6,
STD-MAE,PEMS03,15.26,15.3,26.9,6:2:2,12,12,survey,12,
STD-MAE,PEMS04,17.17,11.48,28.11,6:2:2,12,12,survey,3,
STD-MAE,PEMS04,17.9,11.98,29.42,6:2:2,12,12,survey,6,
STD-MAE,PEMS04,18.96,12.84,31.01,6:2:2,12,12,survey,12,
STD-MAE,PEMS07,17.43,7.45,29.26,6:2:2,12,12,survey,3,
STD-MAE,PEMS07,18.51,7.99,31.46,6:2:2,12,12,survey,6,
STD-MAE,PEMS07,19.8,8.54,33.71,6:2:2,12,12,survey,12,
STD-MAE,PEMS08,12.83,9.09,21.11,6:2:2,12,12,survey,3,
STD-MAE,PEMS08,13.55,9.64,22.74,6:2:2,12,12,survey,6,
STD-MAE,PEMS08,14.52,10.57,24.43,6:2:2,12,12,survey,12,
